category,month,latitude,longitude,street,outcome,source
anti-social-behaviour,2026-06,51.518456,-0.133209,On or near Percy Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502888,-0.117319,On or near Chicheley Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509097,-0.146936,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.500306,-0.129629,On or near Storey's Gate,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510953,-0.133012,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507576,-0.141776,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.513205,-0.124229,On or near Long Acre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512416,-0.133384,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.494818,-0.117089,On or near Pratt Walk,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509491,-0.125924,On or near William Iv Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510942,-0.131196,On or near Leicester Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512300,-0.128388,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516820,-0.127583,On or near Dyott Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510468,-0.130769,On or near Leicester Square,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512300,-0.128388,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.496941,-0.130617,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519153,-0.140863,On or near Great Titchfield Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.513090,-0.135043,On or near Hopkins Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.515070,-0.138003,On or near Shopping Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519609,-0.139548,On or near Foley Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516275,-0.126121,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516001,-0.122471,On or near Macklin Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.513753,-0.125331,On or near Shelton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.499692,-0.114266,On or near Westminster Bridge Road,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.500396,-0.111082,On or near Baylis Road,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.504010,-0.115515,On or near Waterloo,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516275,-0.126121,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.496949,-0.135630,On or near Artillery Row,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.500566,-0.131851,On or near Dartmouth Street,,UK Police street-level API sample around central London
