indicator_name,estimate,estimate_type,estimate_type_detail,estimate_geographic_location,relative_standard_error,source
Simple Assault,6046.26638220212,count,,National,0.0701085570125424,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,81889.1865106962,count,,National,0.019946679371653,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,380156.449623195,count,,National,0.0189745611583907,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,161966.515848477,count,,National,0.0232209066366466,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,326197.014039932,count,,National,0.0105261490753667,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,432184.819344079,count,,National,0.0102311693891805,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,496447.900598702,count,,National,0.0102362111001789,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,489764.749516857,count,,National,0.010581441314599,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,9843.63300949721,count,,National,0.0542774133987479,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,17873.8427010079,count,,National,0.0725532113510369,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,7676.13249046486,count,,National,0.0794787524039245,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,18809.0584790497,count,,National,0.0612860335763234,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,23835.4467270014,count,,National,0.0608428730445344,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,25028.1256750932,count,,National,0.0627055511914865,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
Simple Assault,23538.6303757784,count,,National,0.0669696890230311,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
